"Date","Price","Open","High","Low","Change %"
"08/28/2023","4.8075","4.9090","4.9090","4.7870","0.17%"
"08/25/2023","4.7992","4.8120","4.8860","4.7808","0.00%"
"08/24/2023","4.7992","4.7790","4.8280","4.7410","1.12%"
"08/23/2023","4.7460","4.8750","4.8750","4.7230","-2.43%"
"08/22/2023","4.8640","4.8430","4.8850","4.7970","0.91%"
"08/21/2023","4.8200","4.7990","4.8590","4.7570","0.61%"
"08/18/2023","4.7910","4.7570","4.7960","4.7180","0.00%"
"08/17/2023","4.7910","4.7770","4.8580","4.7400","0.06%"
"08/16/2023","4.7880","4.7680","4.8090","4.6890","0.72%"
"08/15/2023","4.7540","4.7680","4.8300","4.6944","-0.23%"
"08/14/2023","4.7650","4.7410","4.7790","4.6745","3.70%"
"08/11/2023","4.5950","4.6060","4.6970","4.5770","0.00%"
"08/10/2023","4.5950","4.5760","4.6390","4.4490","0.81%"
"08/09/2023","4.5582","4.5268","4.5950","4.5128","0.51%"
"08/08/2023","4.5350","4.5550","4.5792","4.4941","-0.31%"
"08/07/2023","4.5491","4.6140","4.6510","4.5340","-2.82%"
"08/04/2023","4.6810","4.6750","4.7470","4.5492","0.00%"
"08/03/2023","4.6810","4.6570","4.7200","4.6430","0.67%"
"08/02/2023","4.6500","4.6730","4.7139","4.6240","-1.15%"
"08/01/2023","4.7040","4.6410","4.7130","4.6260","0.97%"
"07/31/2023","4.6590","4.6744","4.7151","4.6234","-1.51%"
"07/28/2023","4.7302","4.7210","4.7892","4.6227","0.00%"
"07/27/2023","4.7302","4.6400","4.7472","4.5690","2.85%"
"07/26/2023","4.5992","4.6720","4.7160","4.5943","-1.81%"
"07/25/2023","4.6839","4.6620","4.7190","4.6300","1.21%"
"07/24/2023","4.6280","4.5980","4.6644","4.5378","1.45%"
"07/21/2023","4.5620","4.5740","4.6240","4.5500","0.00%"
"07/20/2023","4.5620","4.4980","4.6116","4.4770","1.99%"
"07/19/2023","4.4728","4.4970","4.5300","4.4090","-0.54%"
"07/18/2023","4.4970","4.4950","4.5120","4.3910","0.54%"
"07/17/2023","4.4730","4.5220","4.5320","4.4486","2.50%"
"07/14/2023","4.3640","4.4140","4.5220","4.3770","0.00%"
"07/13/2023","4.3640","4.5330","4.5330","4.3544","-6.83%"
"07/12/2023","4.6839","4.6839","4.6860","4.5336","-0.19%"
"07/11/2023","4.6930","4.6750","4.7062","4.6140","-0.04%"
"07/10/2023","4.6950","4.8040","4.8240","4.6690","-2.96%"
"07/07/2023","4.8380","4.8190","4.8590","4.7226","0.00%"
"07/06/2023","4.8380","4.7540","4.9620","4.7109","1.96%"
"07/05/2023","4.7450","4.6880","4.7570","4.6530","0.85%"
"07/04/2023","4.7050","4.6880","4.7073","4.6713","0.00%"
"07/03/2023","4.7050","4.6075","4.7360","4.5923","1.44%"
"06/30/2023","4.6380","4.6230","4.7010","4.6000","0.00%"
"06/29/2023","4.6380","4.4690","4.6560","4.4610","3.32%"
"06/28/2023","4.4890","4.5110","4.5470","4.4640","-0.71%"
"06/27/2023","4.5210","4.4480","4.5469","4.4330","1.48%"
"06/26/2023","4.4550","4.4600","4.4770","4.4088","-1.46%"
"06/23/2023","4.5210","4.5320","4.5500","4.4140","0.00%"
"06/22/2023","4.5210","4.4490","4.5460","4.4030","1.55%"
"06/21/2023","4.4520","4.4510","4.5090","4.4110","-0.09%"
"06/20/2023","4.4560","4.5210","4.5240","4.4150","0.00%"
"06/19/2023","4.4560","4.4520","4.4930","4.4460","1.62%"
"06/16/2023","4.3850","4.3630","4.5287","4.3610","0.00%"
"06/15/2023","4.3850","4.4490","4.5390","4.3650","-2.06%"
"06/14/2023","4.4773","4.4400","4.5663","4.3570","0.59%"
"06/13/2023","4.4510","4.3300","4.4770","4.2370","2.27%"
"06/12/2023","4.3520","4.3640","4.4050","4.2940","-0.21%"
"06/11/2023","4.3610","4.3520","4.3960","4.3520","2.06%"
"06/09/2023","4.2730","4.2740","4.3750","4.2602","0.00%"
"06/08/2023","4.2730","4.3280","4.3710","4.2390","-0.93%"
"06/07/2023","4.3133","4.1990","4.3830","4.1990","1.20%"
"06/06/2023","4.2620","4.1960","4.2890","4.1580","0.97%"
"06/05/2023","4.2212","4.2290","4.3360","4.1670","-1.05%"
"06/04/2023","4.2660","4.2290","4.2710","4.2280","4.47%"
"06/02/2023","4.0835","4.0860","4.2750","4.0682","0.00%"
"06/01/2023","4.0835","4.1480","4.2270","4.0510","-1.86%"
"05/31/2023","4.1610","4.1830","4.2550","4.1180","-4.04%"
